
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.69.125:57330   157.56.53.44:443       ESTABLISHED
  TCP    192.168.69.125:57346   138.108.6.20:80        TIME_WAIT
  TCP    192.168.69.125:57348   12.130.81.218:80       TIME_WAIT
  TCP    192.168.69.125:57362   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57363   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57364   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57365   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57366   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57367   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57368   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57369   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57370   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57371   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57412   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57413   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57414   74.217.63.49:80        TIME_WAIT
  TCP    192.168.69.125:57415   74.217.63.45:80        TIME_WAIT
  TCP    192.168.69.125:57416   50.22.252.142:80       ESTABLISHED
  TCP    192.168.69.125:57418   74.217.63.49:80        TIME_WAIT
  TCP    192.168.69.125:57419   74.217.63.45:80        TIME_WAIT
  TCP    192.168.69.125:57420   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57421   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57422   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57423   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57424   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57425   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57426   23.21.251.202:80       TIME_WAIT
  TCP    192.168.69.125:57427   173.241.242.219:80     TIME_WAIT
  TCP    192.168.69.125:57430   173.241.242.219:80     TIME_WAIT
  TCP    192.168.69.125:57431   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57432   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57433   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57434   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57436   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57437   134.170.19.116:443     ESTABLISHED
  TCP    192.168.69.125:57438   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57469   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57470   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57471   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57472   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57473   173.241.242.219:80     TIME_WAIT
  TCP    192.168.69.125:57474   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57475   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57488   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57489   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57490   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57491   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57492   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57493   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57494   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57495   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57496   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57497   192.168.69.125:57201   TIME_WAIT
  TCP    192.168.69.125:57499   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57500   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57501   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57502   174.129.6.166:80       TIME_WAIT
  TCP    192.168.69.125:57503   174.129.6.166:80       TIME_WAIT
